part_id,owner,category,material,quantity,candidate_part_number,thread,length_mm,fastener_form,CAD_envelope_mm,action,STEP,STL,note
l_yaw_bush_top,chest,加工塑料,pom,1,,,,,6.0 x 6.0 x 10.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_yaw_bush_top.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_yaw_bush_lower,chest,加工塑料,pom,1,,,,,6.0 x 6.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_yaw_bush_lower.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_elev_bush_27,clavicle_l.protract_frame,加工塑料,pom,1,,,,,6.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_elev_bush_27.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_elev_bush_43,clavicle_l.protract_frame,加工塑料,pom,1,,,,,6.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_elev_bush_43.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_yaw_carriage,clavicle_l.protract_frame,加工金属,aluminum_7075,1,,,,,25.0 x 28.367 x 68.05,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_yaw_carriage.step,,"Machined yaw carriage, keyed D4 end and two original elevation bearings; bolt-on G4 reaction plate support; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_flex_bush_-36.5,clavicle_l,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_flex_bush_-36.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_flex_bush_-27.5,clavicle_l,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_flex_bush_-27.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_clavicle_output_frame,clavicle_l,加工金属,aluminum_7075,1,,,,,41.5 x 57.12 x 60.614,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_clavicle_output_frame.step,,"Machined clavicle link, D4 middle key transfers elevation torque, M2 radial retainer; original shoulder centre preserved; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_abduct_bush_-20.5,upperarm_l.flex_frame,加工塑料,pom,1,,,,,5.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_abduct_bush_-20.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_abduct_bush_20.5,upperarm_l.flex_frame,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_abduct_bush_20.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
l_flex_ring,upperarm_l.flex_frame,加工金属,aluminum_7075,1,,,,,32.0 x 42.0 x 77.895,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_ring.step,,"Rev J removable split metal drive hub; flange fixed with two M2 screws, nut pockets and tool relief; strain/creep not verified; 7075-T6 metal candidate required for reamed interference-fit radial bush seats; no PLA press-fit claim; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
l_abduct_ring_and_twist_seat,upperarm_l.abduct_frame,加工金属,aluminum_7075,1,,,,,20.645 x 28.0 x 31.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_ring_and_twist_seat.step,,"Machined metal shoulder abduction ring and twist reaction face; top thrust face Z5.5, radial bush does not carry preload; integral positive travel stops; D6.04 nominal sleeve seat and captured D7.4 lower flange; outer friction contact radius increased to 10 mm"
l_twist_bush,upperarm_l.abduct_frame,加工塑料,pom,1,,,,,7.4 x 7.4 x 13.8,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_twist_bush.step,,"Flanged POM-C D6 sleeve, D4.06 running bore; D7.4 x0.8 flange trapped between lining top -9 and housing shoulder -8. Nominal axial float .2 mm."
l_twist_rotor_face,upperarm_l,加工金属,aluminum_7075,1,,,,,2.8 x 20.0 x 20.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_twist_rotor_face.step,,Positive D4 drive; axial spring force reacts into the fixed metal shoulder seat; integral travel tab reacts directly into bearing frame; outer friction contact radius increased to 10 mm
l_twist_lining,upperarm_l.abduct_frame,加工塑料,peek,1,,,,,1.0 x 20.0 x 20.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_twist_lining.step,,"; unfilled PEEK ring R3.15..10, dry contact candidate"
l_arm_upperarm_shell_front,upperarm_l,打印,shell,1,,,,,23.098 x 50.011 x 60.171,PLA 候选，按随件 STL 和切片复核要求,parts/l_arm_upperarm_shell_front.step,print_candidates/l_arm_upperarm_shell_front.stl,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
l_arm_upperarm_shell_back,upperarm_l,打印,shell,1,,,,,26.9 x 50.247 x 67.276,PLA 候选，按随件 STL 和切片复核要求,parts/l_arm_upperarm_shell_back.step,print_candidates/l_arm_upperarm_shell_back.stl,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
r_yaw_bush_top,chest,加工塑料,pom,1,,,,,6.0 x 6.0 x 10.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_yaw_bush_top.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_yaw_bush_lower,chest,加工塑料,pom,1,,,,,6.0 x 6.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_yaw_bush_lower.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_elev_bush_27,clavicle_r.protract_frame,加工塑料,pom,1,,,,,6.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_elev_bush_27.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_elev_bush_43,clavicle_r.protract_frame,加工塑料,pom,1,,,,,6.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_elev_bush_43.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
